Symbol,Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
CBS,CBS Corp.,Consumer Discretionary,51.8,12.05,1.3473054,2.81,70.095,52.75,20431395736,2841000000,2.1055017,6.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBS
CELG,Celgene Corp.,Health Care,91.02,13.27,0,3.58,147.17,92.85,74921079154,5233000000,5.830071,7.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG
CNC,Centene Corporation,Health Care,100.36,19.12,0,3.23,112.42,65.03,18012494506,2063000000,0.5028663,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
CNP,CenterPoint Energy,Utilities,25.85,19.73,4.2109256,1,30.45,25.51,11362043297,2337000000,1.6262617,3.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNP
CTL,CenturyLink Inc,Telecommunication Services,16.2,8.35,12.661196,1.16,27.61,13.161,18237196861,5577000000,1.4795984,1.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTL
CERN,Cerner,Health Care,61.22,27.09,0,1.84,73.86,51.2617,21101697598,1523440000,5.5560412,4.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CERN
CF,CF Industries Holdings Inc,Materials,37.46,-59.46,3.0395136,-1.2,43.98,25.04,9209106695,711000000,3.0044448,2.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
SCHW,Charles Schwab Corporation,Financials,48.9,29.82,0.76878726,1.61,56.25,37.16,69750188843,0,7.949615,4.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
CHTR,Charter Communications,Consumer Discretionary,348.65,162.92,0,34.08,408.83,308.3,86708878113,14694000000,2.1208634,2.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
CHK,Chesapeake Energy,Energy,2.82,4.7,0,-6.44,6.59,2.8,2626102121,1470000000,0.40765184,1.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHK
CVX,Chevron Corp.,Energy,112.3,27.52,3.885853,4.85,133.88,102.55,2.19E+11,28877000000,1.6489863,1.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,45.86,0,0.8,499,263,7685283970,401293000,2.5523853,6.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMG
CB,Chubb Limited,Financials,140.39,17.5,1.9251627,8.2,157.5,130.17,68424670566,0,2.0985637,1.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB
CHD,Church & Dwight,Consumer Staples,47.38,24.42,1.8366054,2.92,54.1799,43.21,11838963451,868000000,3.1682448,6.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHD
CI,CIGNA Corp.,Health Care,189.27,18.11,0.020466639,7.2,227.13,141.93,47680910480,0,1.550762,3.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
XEC,Cimarex Energy,Energy,100.19,26.37,0.30214334,-4.64,136.31,89.49,10089082025,1061056000,7.556446,4.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEC
